Name,Property Details,Timestamp,Percent Funded,Address,Purchase Price,Ttl Prop. Amt,Share $ Avail.,Ttl Shares,Investors,Rent Ready Date,Rental Status,Mo. Rent,Div Date,1st Div Yield,Ann. Equity Return,Ann. Div Yield,Hypoth. Ann. Return,Prop. Leverage,IPO Shareprice,AirDNA Market Grade
The Ace,"BED: 5    BATH: 3    SQ FT: 2,467    YEAR BUILT: 1979",2022-09-08 16:48:44,100% FUNDED,"Address: 14249 N. 49th Street, Scottsdale, AZ 85254","$1,050,000 ","$1,334,011 ","$893,020 ","89,302",1016,DECEMBER 2022,,,,,12.60%,5.20%,17.80%,42%,$10 ,https://cdn.arrivedhomes.com/images/strContent/airdna-grade-the-ace.png
The Oasis,"BED: 4    BATH: 4    SQ FT: 1,772    YEAR BUILT: 2020",2022-09-08 16:48:54,100% FUNDED,"Address: 964 Youngs Lane, Nashville, TN 37207","$975,000 ","$1,221,119 ","$733,620 ","73,362",853,OCTOBER 2022,,,,,20.80%,4.40%,25.20%,50%,$10 ,https://cdn.arrivedhomes.com/images/strContent/airdna-grade-the-oasis.png
The Harrison,"BED: 3    BATH: 3.5    SQ FT: 2,732    YEAR BUILT: 2014",2022-09-08 16:49:32,100% FUNDED,"Address: 5776 Caney Ridge Circle, Ooltewah, TN 37363","$460,000 ","$535,856 ","$305,856 ","30,586",575,,SEEKING TENANT,"$2,895 ",JANUARY 2023,2.4% / YEAR,10.00%,2.40%,12.40%,50%,$10 ,
The Kessler,"BED: 3    BATH: 2    SQ FT: 1,286    YEAR BUILT: 2008",2022-09-08 16:49:37,100% FUNDED,"Address: 12520 Meadow Oaks Lane, Farmington, AR 72730","$257,000 ","$301,985 ","$173,485 ","17,348",338,,RENTED 🙌,"$1,595 ",JANUARY 2023,2.0% / YEAR,5.10%,2.00%,7.10%,50%,$10 ,
The Cypress,"BED: 4    BATH: 3    SQ FT: 1,905    YEAR BUILT: 2000",2022-09-08 16:49:42,100% FUNDED,"Address: 3450 Cypress Club Trail, Austell, GA 30106","$365,000 ","$428,758 ","$246,258 ","24,626",514,,SEEKING TENANT,"$2,295 ",JANUARY 2023,2.4% / YEAR,6.00%,2.40%,8.40%,50%,$10 ,
The Marietta,"BED: 4    BATH: 2.5    SQ FT: 2,158    YEAR BUILT: 2022",2022-09-08 16:49:47,100% FUNDED,"Address: 436 Marietta Lane, Greer, SC 29651","$304,225 ","$356,796 ","$204,690 ","20,469",303,,SEEKING TENANT,"$2,195 ",OCTOBER 2022,3.6% / YEAR,6.20%,3.60%,9.80%,50%,$10 ,
The Aster,"BED: 3    BATH: 2    SQ FT: 1,502    YEAR BUILT: 1997",2022-09-08 16:49:52,100% FUNDED,"Address: 490 West Aster Avenue, Farmington, AR 72730","$255,000 ","$300,706 ","$173,210 ","17,321",381,,SEEKING TENANT,"$1,695 ",OCTOBER 2022,2.4% / YEAR,5.00%,2.40%,7.40%,50%,$10 ,
The Cumberland,"BED: 3    BATH: 2    SQ FT: 1,396    YEAR BUILT: 2019",2022-09-08 16:49:58,100% FUNDED,"Address: 702 Jim Brown Drive, Clarksville, TN 37042","$295,000 ","$345,299 ","$345,300 ","34,530",545,,RENTED 🙌,"$1,695 ",OCTOBER 2022,3.2% / YEAR,7.30%,3.20%,10.50%,0%,$10 ,
The Bonneau,"BED: 3    BATH: 3    SQ FT: 2,355    YEAR BUILT: 2020",2022-09-08 16:50:03,100% FUNDED,"Address: 120 Caleb Court, Ladson, SC 29456","$336,000 ","$392,042 ","$392,050 ","39,205",690,,SEEKING TENANT,"$2,195 ",OCTOBER 2022,3.2% / YEAR,3.70%,3.20%,6.90%,0%,$10 ,
El Camino,"BED: 3    BATH: 2    SQ FT: 1,540    YEAR BUILT: 2017",2022-09-08 16:50:08,100% FUNDED,"Address: 326 32nd Place East, Tuscaloosa, AL 35405","$265,000 ","$310,309 ","$310,310 ","31,031",592,,RENTED 🙌,"$1,595 ",OCTOBER 2022,3.6% / YEAR,0.60%,3.60%,4.20%,0%,$10 ,
The Highland,"BED: 4    BATH: 2.5    SQ FT: 1,926    YEAR BUILT: 2022",2022-09-08 16:50:12,100% FUNDED,"Address: 139 Highland Park Court, Easley, SC 29642","$272,973 ","$324,312 ","$324,310 ","32,431",480,,SEEKING TENANT,"$1,995 ",OCTOBER 2022,3.6% / YEAR,6.80%,3.60%,10.40%,0%,$10 ,
The Reginald,"BED: 5    BATH: 4    SQ FT: 4,020    YEAR BUILT: 2008",2022-09-08 16:50:16,100% FUNDED,"Address: 1201 Ithaca Drive, McDonough, GA 30253","$435,000 ","$503,856 ","$503,860 ","50,386",1012,,SEEKING TENANT,"$2,595 ",OCTOBER 2022,3.6% / YEAR,3.40%,3.60%,7.00%,0%,$10 ,
The Conway,"BED: 3    BATH: 2.5    SQ FT: 2,241    YEAR BUILT: 2022",2022-09-08 16:50:20,100% FUNDED,"Address: 1113 Leland Avenue, Unit A, Nashville, TN 37216","$685,000 ","$783,103 ","$783,110 ","78,311",1290,,SEEKING TENANT,"$3,695 ",OCTOBER 2022,3.6% / YEAR,9.20%,3.60%,12.80%,0%,$10 ,
The Belle,"BED: 5    BATH: 4    SQ FT: 3,006    YEAR BUILT: 2015",2022-09-08 16:50:24,100% FUNDED,"Address: 1205 Ithaca Drive, McDonough, GA 30253","$440,000 ","$504,093 ","$504,100 ","50,410",802,,RENTED 🙌,"$2,495 ",OCTOBER 2022,3.2% / YEAR,3.40%,3.20%,6.60%,0%,$10 ,
The Chitwood,"BED: 4    BATH: 2.5    SQ FT: 2,245    YEAR BUILT: 2019",2022-09-08 16:50:28,100% FUNDED,"Address: 7159 Berringer Court, Maineville, OH 45039","$385,000 ","$442,134 ","$442,140 ","44,214",887,,SEEKING TENANT,"$2,195 ",OCTOBER 2022,3.2% / YEAR,5.00%,3.20%,8.20%,0%,$10 ,
The Spring,"BED: 3    BATH: 2    SQ FT: 1,432    YEAR BUILT: 2011",2022-09-08 16:50:31,100% FUNDED,"Address: 352 Robin Helton Drive, Boiling Springs, SC 29316","$248,000 ","$288,464 ","$288,470 ","28,847",499,,RENTED 🙌,"$1,695 ",OCTOBER 2022,3.2% / YEAR,9.80%,3.20%,13.00%,0%,$10 ,
The Daisy,"BED: 4    BATH: 2    SQ FT: 1,750    YEAR BUILT: 2003",2022-09-08 16:50:35,100% FUNDED,"Address: 1812 Anthony Drive, Rogers, AR 72756","$302,000 ","$352,052 ","$352,060 ","35,206",605,,RENTED 🙌,"$1,695 ",OCTOBER 2022,3.2% / YEAR,2.20%,3.20%,5.40%,0%,$10 ,
The Henry,"BED: 5    BATH: 3    SQ FT: 3,158    YEAR BUILT: 2015",2022-09-08 16:50:39,100% FUNDED,"Address: 332 Madison Grace Avenue, McDonough, GA 30252","$412,000 ","$475,743 ","$475,750 ","47,575",822,,RENTED 🙌,"$2,450 ",OCTOBER 2022,3.6% / YEAR,5.00%,3.60%,8.60%,0%,$10 ,
The Sodalis,"BED: 3    BATH: 3    SQ FT: 2,027    YEAR BUILT: 2012",2022-09-08 16:50:43,100% FUNDED,"Address: 8539 Gold Rush Way, Camby, IN 46113","$290,000 ","$337,021 ","$337,030 ","33,703",675,,SEEKING TENANT,"$1,795 ",OCTOBER 2022,3.2% / YEAR,7.60%,3.20%,10.80%,0%,$10 ,
The Loretta,"BED: 3    BATH: 2.5    SQ FT: 2,278    YEAR BUILT: 2022",2022-09-08 16:50:47,100% FUNDED,"Address: 1113 Leland Avenue, Unit B, Nashville, TN 37216","$685,000 ","$783,103 ","$783,110 ","78,311",1282,,SEEKING TENANT,"$3,695 ",OCTOBER 2022,3.6% / YEAR,9.20%,3.60%,12.80%,0%,$10 ,
The Kenny,"BED: 3    BATH: 3.5    SQ FT: 2,318    YEAR BUILT: 2022",2022-09-08 16:50:50,100% FUNDED,"Address: 1843 Meade Avenue, Nashville, TN 37207","$690,000 ","$794,227 ","$794,230 ","79,423",1108,,SEEKING TENANT,"$3,895 ",OCTOBER 2022,3.2% / YEAR,12.10%,3.20%,15.30%,0%,$10 ,
The Creekside,"BED: 3    BATH: 2    SQ FT: 1,621    YEAR BUILT: 2021",2022-09-08 16:50:54,100% FUNDED,"Address: 439 North Otoe Street, Farmington, AR 72730","$311,500 ","$361,928 ","$361,930 ","36,193",595,,RENTED 🙌,"$1,945 ",OCTOBER 2022,3.6% / YEAR,2.40%,3.60%,6.00%,0%,$10 ,
The Willow,"BED: 3    BATH: 2    SQ FT: 1,423    YEAR BUILT: 2018",2022-09-08 16:50:58,100% FUNDED,"Address: 825 Northwest 68th Avenue, Bentonville, AR 72712","$293,000 ","$340,969 ","$340,970 ","34,097",572,,RENTED 🙌,"$1,745 ",OCTOBER 2022,3.2% / YEAR,1.90%,3.20%,5.10%,0%,$10 ,
The Wilson,"BED: 4    BATH: 2.5    SQ FT: 2,172    YEAR BUILT: 2005",2022-09-08 16:51:02,100% FUNDED,"Address: 6217 West Persimmon Street, Fayetteville, AR 72704","$385,000 ","$449,567 ","$449,570 ","44,957",663,,RENTED 🙌,"$2,220 ",OCTOBER 2022,3.2% / YEAR,5.20%,3.20%,8.40%,0%,$10 ,
The Dogwood,"BED: 3    BATH: 2    SQ FT: 1,561    YEAR BUILT: 2020",2022-09-08 16:51:06,100% FUNDED,"Address: 1335 Maxwell Circle, Tuscaloosa, AL 35405","$240,000 ","$280,619 ","$280,620 ","28,062",638,,RENTED 🙌,"$1,495 ",OCTOBER 2022,3.2% / YEAR,0.60%,3.20%,3.80%,0%,$10 ,
The Walton,"BED: 3    BATH: 3    SQ FT: 1,629    YEAR BUILT: 2013",2022-09-08 16:51:09,100% FUNDED,"Address: 3211 SW Stonepoint Avenue, Bentonville, AR 72713","$300,000 ","$347,021 ","$347,030 ","34,703",594,,SEEKING TENANT,"$1,795 ",OCTOBER 2022,3.2% / YEAR,1.90%,3.20%,5.10%,0%,$10 ,
The Clover,"BED: 4    BATH: 3    SQ FT: 2,576    YEAR BUILT: 2002",2022-09-08 16:51:13,100% FUNDED,"Address: 125 Cloverwood Drive SW, Huntsville, AL 35824","$330,000 ","$381,959 ","$381,960 ","38,196",663,,RENTED 🙌,"$1,895 ",OCTOBER 2022,3.6% / YEAR,3.40%,3.60%,7.00%,0%,$10 ,
The Dolly,"BED: 3    BATH: 3    SQ FT: 2,276    YEAR BUILT: 2022",2022-09-08 16:51:17,100% FUNDED,"Address: 1845 Meade Avenue, Nashville, TN 37207","$690,000 ","$794,227 ","$794,230 ","79,423",1230,,SEEKING TENANT,"$3,895 ",OCTOBER 2022,3.2% / YEAR,12.10%,3.20%,15.30%,0%,$10 ,
The Riverwalk,"BED: 4    BATH: 3    SQ FT: 2,251    YEAR BUILT: 2013",2022-09-08 16:51:21,100% FUNDED,"Address: 6377 Winlerkorn Lane, Ooltewah, TN 37363","$395,000 ","$457,186 ","$457,190 ","45,719",891,,RENTED 🙌,"$2,395 ",OCTOBER 2022,3.6% / YEAR,4.80%,3.60%,8.40%,0%,$10 ,
The Collier,"BED: 3    BATH: 3    SQ FT: 2,192    YEAR BUILT: 2020",2022-09-08 16:51:24,100% FUNDED,"Address: 1129 Cloud View Drive, Powell, TN 37849","$355,000 ","$410,887 ","$410,890 ","41,089",733,,SEEKING TENANT,"$2,095 ",OCTOBER 2022,3.6% / YEAR,4.30%,3.60%,7.90%,0%,$10 ,
The Folly,"BED: 3    BATH: 3    SQ FT: 1,798    YEAR BUILT: 2016",2022-09-08 16:51:28,100% FUNDED,"Address: 199 Longford Drive, Summerville, SC 29485","$312,000 ","$362,949 ","$362,950 ","36,295",609,,SEEKING TENANT,"$2,095 ",OCTOBER 2022,3.2% / YEAR,4.90%,3.20%,8.10%,0%,$10 ,
The Dorchester,"BED: 3    BATH: 2.5    SQ FT: 2,470    YEAR BUILT: 2016",2022-09-08 16:51:31,100% FUNDED,"Address: 115 Rawlins Drive, Summerville, SC 29485","$345,000 ","$402,268 ","$402,270 ","40,227",644,,SEEKING TENANT,"$2,295 ",OCTOBER 2022,3.2% / YEAR,4.90%,3.20%,8.10%,0%,$10 ,
The Bazzel,"BED: 4    BATH: 3    SQ FT: 2,060    YEAR BUILT: 2017",2022-09-08 16:51:34,100% FUNDED,"Address: 663 Markham Circle, Moore, SC 29369","$248,500 ","$291,258 ","$291,260 ","29,126",622,,SEEKING TENANT,"$1,695 ",OCTOBER 2022,3.2% / YEAR,4.10%,3.20%,7.30%,0%,$10 ,
The June,"BED: 3    BATH: 3    SQ FT: 2,020    YEAR BUILT: 2021",2022-09-08 16:51:38,100% FUNDED,"Address: 520 Yokley Drive, Nashville, TN 37207","$585,000 ","$667,887 ","$667,890 ","66,789",1054,,RENTED 🙌,"$3,320 ",OCTOBER 2022,3.6% / YEAR,12.10%,3.60%,15.70%,0%,$10 ,
The Johnny,"BED: 3    BATH: 3    SQ FT: 2,020    YEAR BUILT: 2021",2022-09-08 16:51:42,100% FUNDED,"Address: 518 Yokley Drive, Nashville, TN 37207","$585,000 ","$667,887 ","$667,890 ","66,789",1096,,SEEKING TENANT,"$3,195 ",OCTOBER 2022,3.6% / YEAR,12.10%,3.60%,15.70%,0%,$10 ,
The Osprey,"BED: 4    BATH: 3    SQ FT: 2,346    YEAR BUILT: 2006",2022-09-08 16:51:46,100% FUNDED,"Address: 5121 Morrow Lane, Summerville, SC 29485","$350,000 ","$404,588 ","$404,590 ","40,459",531,,RENTED 🙌,"$2,295 ",OCTOBER 2022,3.2% / YEAR,4.90%,3.20%,8.10%,0%,$10 ,
The Lookout,"BED: 3    BATH: 2    SQ FT: 1,523    YEAR BUILT: 2001",2022-09-08 16:51:52,100% FUNDED,"Address: 6872 Axiom Lane, Ooltewah, TN 37363","$345,000 ","$399,186 ","$399,190 ","39,919",862,,RENTED 🙌,"$1,945 ",OCTOBER 2022,3.2% / YEAR,4.80%,3.20%,8.00%,0%,$10 ,
The Reynolds,"BED: 4    BATH: 4    SQ FT: 3,008    YEAR BUILT: 2018",2022-09-08 16:51:56,100% FUNDED,"Address: 2712 Trey Court, Ellenwood, GA 30294","$430,000 ","$492,743 ","$492,750 ","49,275",768,,RENTED 🙌,"$2,495 ",OCTOBER 2022,3.2% / YEAR,2.80%,3.20%,6.00%,0%,$10 ,
The Kennesaw,"BED: 5    BATH: 3    SQ FT: 2,906    YEAR BUILT: 2012",2022-09-08 16:52:00,100% FUNDED,"Address: 2557 Kolb Manor Circle SW, Marietta, GA 30008","$425,000 ","$488,196 ","$488,200 ","48,820",781,,RENTED 🙌,"$2,495 ",OCTOBER 2022,3.2% / YEAR,1.80%,3.20%,5.00%,0%,$10 ,
The Pioneer,"BED: 3    BATH: 3    SQ FT: 2,714    YEAR BUILT: 2021",2022-09-08 16:52:04,100% FUNDED,"Address: 9363 Sedalia Street, Commerce City, CO 80022","$574,800 ","$655,773 ","$655,780 ","65,578",934,,SEEKING TENANT,"$3,095 ",OCTOBER 2022,3.2% / YEAR,3.00%,3.20%,6.20%,0%,$10 ,
The Jake,"BED: 3    BATH: 3    SQ FT: 3,131    YEAR BUILT: 2010",2022-09-08 16:52:08,100% FUNDED,"Address: 10803 Sedalia Circle, Commerce City, CO 80022","$593,200 ","$676,309 ","$676,310 ","67,631",842,,SEEKING TENANT,"$3,095 ",OCTOBER 2022,3.2% / YEAR,3.00%,3.20%,6.20%,0%,$10 ,
The Holcomb,"BED: 4    BATH: 2.5    SQ FT: 2,102    YEAR BUILT: 2019",2022-09-08 16:52:11,100% FUNDED,"Address: 1994 Bridgewater Pass, Hampton, GA 30228","$355,000 ","$409,516 ","$409,520 ","40,952",608,,RENTED 🙌,"$2,095 ",OCTOBER 2022,3.2% / YEAR,4.60%,3.20%,7.80%,0%,$10 ,
The Latte,"BED: 5    BATH: 3    SQ FT: 3,162    YEAR BUILT: 2021",2022-09-08 16:52:16,100% FUNDED,"Address: 6030 Thorntons Way Circle NW, Huntsville, AL 35810","$365,000 ","$417,433 ","$417,440 ","41,744",554,,RENTED 🙌,"$2,195 ",OCTOBER 2022,3.2% / YEAR,3.80%,3.20%,7.00%,0%,$10 ,
The Dunbar,"BED: 5    BATH: 3    SQ FT: 2,190    YEAR BUILT: 2010",2022-09-08 16:52:19,100% FUNDED,"Address: 1416 Mutual Drive, Clarksville, TN 37042","$322,000 ","$373,341 ","$373,350 ","37,335",838,,SEEKING TENANT,"$1,795 ",OCTOBER 2022,3.2% / YEAR,7.30%,3.20%,10.50%,0%,$10 ,
The Nugget,"BED: 3    BATH: 3    SQ FT: 2,210    YEAR BUILT: 2020",2022-09-08 16:52:23,100% FUNDED,"Address: 10134 Zeno Street, Commerce City, CO 80022","$562,000 ","$639,103 ","$639,110 ","63,911",825,,RENTED 🙌,"$2,845 ",JULY 2022,3.0% / YEAR,3.00%,3.00%,6.00%,0%,$10 ,
The Pearl,"BED: 3    BATH: 3    SQ FT: 1,732    YEAR BUILT: 2017",2022-09-08 16:52:27,100% FUNDED,"Address: 1929 14th Ave N, Nashville, TN 37208","$546,000 ","$625,691 ","$625,700 ","62,570",821,,SEEKING TENANT,"$2,895 ",JULY 2022,3.0% / YEAR,11.80%,3.00%,14.80%,0%,$10 ,
The Hines,"BED: 3    BATH: 2    SQ FT: 1,321    YEAR BUILT: 2012",2022-09-08 16:52:32,100% FUNDED,"Address: 1323 Whitt Lane, Clarksville, TN 37042","$255,000 ","$296,567 ","$296,570 ","29,657",864,,RENTED 🙌,"$1,620 ",OCTOBER 2022,3.6% / YEAR,7.30%,3.60%,10.90%,0%,$10 ,
The Ritter,"BED: 4    BATH: 3    SQ FT: 2,980    YEAR BUILT: 2012",2022-09-08 16:52:35,100% FUNDED,"Address: 8824 Canary Circle, Colorado Springs, CO 80908","$508,000 ","$580,773 ","$580,780 ","58,078",745,,SEEKING TENANT,"$2,795 ",OCTOBER 2022,3.2% / YEAR,2.90%,3.20%,6.10%,0%,$10 ,
The 101,"BED: 3    BATH: 3    SQ FT: 1,772    YEAR BUILT: 2020",2022-09-08 16:52:39,100% FUNDED,"Address: 2117 Herman Street, Nashville, TN 37208","$635,000 ","$726,454 ","$726,460 ","72,646",956,,SEEKING TENANT,"$3,395 ",OCTOBER 2022,3.2% / YEAR,11.80%,3.20%,15.00%,0%,$10 ,
The Madison,"BED: 3    BATH: 2    SQ FT: 1,326    YEAR BUILT: 2015",2022-09-08 16:52:43,100% FUNDED,"Address: 902 NW Appleby St, Huntsville, AL 35816","$205,000 ","$249,191 ","$146,700 ","14,670",125,,SEEKING TENANT,"$1,495 ",JULY 2022,3.6% / YEAR,10.00%,3.60%,13.60%,50%,$10 ,
The Abbington,"BED: 3    BATH: 3    SQ FT: 2,097    YEAR BUILT: 2005",2022-09-08 16:52:47,100% FUNDED,"Address: 3361 Cain Harbor Dr, Nashville, TN 37214","$480,000 ","$554,042 ","$554,050 ","55,405",608,,SEEKING TENANT,"$2,495 ",JULY 2022,3.0% / YEAR,6.00%,3.00%,9.00%,0%,$10 ,
The Burlington,"BED: 5    BATH: 4    SQ FT: 2,727    YEAR BUILT: 2013",2022-09-08 16:52:50,100% FUNDED,"Address: 10289 Nucla St, Commerce City, CO 80022","$653,500 ","$744,062 ","$744,070 ","74,407",853,,SEEKING TENANT,"$3,395 ",JULY 2022,3.0% / YEAR,3.00%,3.00%,6.00%,0%,$10 ,
The Lannister,"BED: 3    BATH: 2    SQ FT: 1,176    YEAR BUILT: 2008",2022-09-08 16:52:53,100% FUNDED,"Address: 2263 Reece Blvd, Tuscaloosa, AL 35401","$175,000 ","$211,624 ","$96,130 ","9,613",959,,SEEKING TENANT,"$1,195 ",JULY 2022,3.0% / YEAR,9.40%,3.00%,12.40%,66%,$10 ,
The Baron,"BED: 3    BATH: 3    SQ FT: 2,363    YEAR BUILT: 2017",2022-09-08 16:52:57,100% FUNDED,"Address: 12421 E 105th Place, Commerce City, CO 80022","$570,000 ","$653,072 ","$653,080 ","65,308",554,,SEEKING TENANT,"$2,795 ",JULY 2022,3.0% / YEAR,3.00%,3.00%,6.00%,0%,$10 ,
The Swift,"BED: 5    BATH: 3    SQ FT: 2,384    YEAR BUILT: 2019",2022-09-08 16:53:01,100% FUNDED,"Address: 3010 Chris Circle, Villa Rica, GA 30180","$346,000 ","$395,629 ","$395,630 ","39,563",344,,RENTED 🙌,"$2,295 ",JULY 2022,4.2% / YEAR,4.50%,4.20%,8.70%,0%,$10 ,
The Wescott,"BED: 3    BATH: 3    SQ FT: 1,839    YEAR BUILT: 1997",2022-09-08 16:53:05,100% FUNDED,"Address: 416 Sandburg Drive, Clarksville, TN 37042","$272,500 ","$315,425 ","$179,180 ","17,918",192,,RENTED 🙌,"$1,795 ",JULY 2022,3.0% / YEAR,15.10%,3.00%,18.10%,50%,$10 ,
The Wildwood,"BED: 3    BATH: 2    SQ FT: 1,316    YEAR BUILT: 2017",2022-09-08 16:53:09,100% FUNDED,"Address: 1672 Southern Heights Cr. SE, Cleveland, TN 37311","$220,000 ","$260,382 ","$150,390 ","15,039",155,,RENTED 🙌,"$1,620 ",JULY 2022,3.0% / YEAR,8.80%,3.00%,11.80%,50%,$10 ,
The Magnolia,"BED: 3    BATH: 2    SQ FT: 1,650    YEAR BUILT: 1971",2022-09-08 16:53:12,100% FUNDED,"Address: 4741 Kings Highway, Douglasville, GA 30135","$250,000 ","$289,763 ","$114,770 ","11,477",154,,RENTED 🙌,"$1,935 ",JULY 2022,3.0% / YEAR,5.60%,3.00%,8.60%,70%,$10 ,
The Kirkwood,"BED: 3    BATH: 2    SQ FT: 1,358    YEAR BUILT: 2009",2022-09-08 16:53:17,100% FUNDED,"Address: 1064 Cindy Jo Court, Clarksville, TN 37040","$260,000 ","$298,608 ","$116,610 ","11,661",103,,RENTED 🙌,"$1,595 ",JULY 2022,3.0% / YEAR,23.80%,3.00%,26.80%,70%,$10 ,
The Rosewood,"BED: 4    BATH: 2    SQ FT: 1,828    YEAR BUILT: 2016",2022-09-08 16:53:20,100% FUNDED,"Address: 2633 Lily Way, Northport, AL 35473","$270,000 ","$312,124 ","$123,230 ","12,323",177,,SEEKING TENANT,"$1,795 ",JULY 2022,3.0% / YEAR,6.20%,3.00%,9.20%,70%,$10 ,
The Apollo,"BED: 3    BATH: 2    SQ FT: 1,319    YEAR BUILT: 1960",2022-09-08 16:53:24,100% FUNDED,"Address: 609 Marguerite Drive, Huntsville, AL 35805","$195,000 ","$227,768 ","$91,270 ","9,127",912,,RENTED 🙌,"$1,395 ",JULY 2022,3.0% / YEAR,18.50%,3.00%,21.50%,70%,$10 ,
The Wisteria,"BED: 4    BATH: 3    SQ FT: 2,623    YEAR BUILT: 2022",2022-09-08 16:53:28,100% FUNDED,"Address: 9300 Cotton Fields Circle, Tuscaloosa, AL 35405","$296,395 ","$312,575 ","$130,560 ","13,056",149,,RENTED 🙌,"$2,195 ",JULY 2022,3.6% / YEAR,5.30%,3.60%,8.90%,70%,$10 ,
The Heron,"BED: 4    BATH: 3    SQ FT: 1,863    YEAR BUILT: 1989",2022-09-08 16:53:31,100% FUNDED,"Address: 8334 Whitehaven Dr., North Charleston, SC 29420","$287,000 ","$332,065 ","$132,170 ","13,217",130,,RENTED 🙌,"$1,895 ",JULY 2022,3.0% / YEAR,15.80%,3.00%,18.80%,70%,$10 ,
The Stonebriar,"BED: 3    BATH: 2    SQ FT: 1,162    YEAR BUILT: 2010",2022-09-08 16:53:35,100% FUNDED,"Address: 4342 Winchester Hills Drive, Birmingham, AL 35215","$202,000 ","$234,040 ","$99,650 ","9,965",142,,SEEKING TENANT,"$1,295 ",JULY 2022,3.6% / YEAR,6.00%,3.60%,9.60%,66.50%,$10 ,
The Heritage,"BED: 3    BATH: 3    SQ FT: 1,986    YEAR BUILT: 2005",2022-09-08 16:53:38,100% FUNDED,"Address: 432 The Gables Drive, McDonough, GA 30253","$290,000 ","$330,196 ","$127,450 ","12,745",117,,RENTED 🙌,"$1,995 ",JULY 2022,3.0% / YEAR,13.40%,3.00%,16.30%,70%,$10 ,
The Mammoth,"BED: 3    BATH: 3    SQ FT: 2,423    YEAR BUILT: 2004",2022-09-08 16:53:42,100% FUNDED,"Address: 200 Vernon Walk, McDonough, GA 30252","$340,000 ","$386,856 ","$148,860 ","14,886",145,,RENTED 🙌,"$2,095 ",JULY 2022,3.0% / YEAR,18.80%,3.00%,21.80%,70%,$10 ,
The McGregor,"BED: 4    BATH: 3    SQ FT: 2,011    YEAR BUILT: 2012",2022-09-08 16:53:46,100% FUNDED,"Address: 674 Sly Fox Drive, Clarksville, TN 37040","$300,000 ","$353,722 ","$353,730 ","35,373",352,,RENTED 🙌,"$1,895 ",JULY 2022,3.6% / YEAR,6.50%,3.60%,10.10%,0%,$10 ,
The Point,"BED: 4    BATH: 3    SQ FT: 2,571    YEAR BUILT: 2018",2022-09-08 16:53:49,100% FUNDED,"Address: 1129 Hilliard Lane, Clarksville, TN 37042","$382,500 ","$437,812 ","$170,060 ","17,006",206,,RENTED 🙌,"$2,295 ",JULY 2022,3.0% / YEAR,26.40%,3.00%,29.40%,70%,$10 ,
The Roxy,"BED: 4    BATH: 3    SQ FT: 2,025    YEAR BUILT: 2013",2022-09-08 16:53:52,100% FUNDED,"Address: 3736 Gray Fox Drive, Clarksville, TN 37040","$325,000 ","$371,129 ","$143,630 ","14,363",110,,RENTED 🙌,"$1,995 ",JULY 2022,3.0% / YEAR,23.90%,3.00%,26.90%,70%,$10 ,
The Peanut,"BED: 3    BATH: 2    SQ FT: 1,356    YEAR BUILT: 2007",2022-09-08 16:53:57,100% FUNDED,"Address: 160 Roscommon Rd, Tuscaloosa, AL","$215,000 ","$246,176 ","$99,190 ","9,919",251,,RENTED 🙌,"$1,395 ",JULY 2022,4.0% / YEAR,3.30%,4.00%,7.30%,68.40%,$10 ,
The 💯,"BED: 3    BATH: 3    SQ FT: 1,766    YEAR BUILT: 2020",2022-09-08 16:54:02,100% FUNDED,"Address: 2119 Herman Street, Nashville, TN 37208","$615,000 ","$705,794 ","$705,800 ","70,580",1153,,RENTED 🙌,"$3,295 ",JULY 2022,3.6% / YEAR,11.80%,3.60%,15.40%,0%,$10 ,
The Grove,"BED: 3    BATH: 2    SQ FT: 2,050    YEAR BUILT: 2001",2022-09-08 16:54:06,100% FUNDED,"Address: 109 Annie Lane, Pleasant Grove, AL 35127","$225,000 ","$262,593 ","$105,100 ","10,510",95,,RENTED 🙌,"$1,495 ",JULY 2022,3.0% / YEAR,9.80%,3.00%,12.70%,70%,$10 ,
The Lanier,"BED: 3    BATH: 2    SQ FT: 2,284    YEAR BUILT: 2002",2022-09-08 16:54:11,100% FUNDED,"Address: 6464 Flowery Way, Flowery Branch, GA 30542","$377,000 ","$431,962 ","$168,070 ","16,807",193,,RENTED 🙌,"$2,295 ",JULY 2022,3.0% / YEAR,11.30%,3.00%,14.20%,70%,$10 ,
The Jack,"BED: 4    BATH: 2.5    SQ FT: 2,358    YEAR BUILT: 2022",2022-09-08 16:54:14,100% FUNDED,"Address: 4434 Jack Faulk St, Murfreesboro, TN","$413,755 ","$473,213 ","$183,590 ","18,359",270,,RENTED 🙌,"$2,545 ",JULY 2022,3.6% / YEAR,17.90%,3.60%,21.50%,70%,$10 ,
The Bedford,"BED: 5    BATH: 3.5    SQ FT: 2,809    YEAR BUILT: 2014",2022-09-08 16:54:19,100% FUNDED,"Address: 808 Derby Downs Ct, Elgin, SC","$280,000 ","$319,165 ","$123,170 ","12,317",182,,RENTED 🙌,"$2,195 ",JULY 2022,4.4% / YEAR,9.30%,4.40%,13.80%,70%,$10 ,
