Name,Property Details,Timestamp,Percent Funded,Address,Purchase Price,Ttl Prop. Amt,Share $ Avail.,Ttl Shares,Investors,Rent Ready Date,Rental Status,Mo. Rent,Div Date,1st Div Yield,Ann. Equity Return,Ann. Div Yield,Hypoth. Ann. Return,Prop. Leverage,IPO Shareprice,AirDNA Market Grade
The Lily,"BED: 4    BATH: 2.5    SQ FT: 4,074    YEAR BUILT: 2016",2022-09-08 16:57:39,100% FUNDED,"Address: 9799 Desert Lily Cir, Colorado Springs, CO 80925","$505,000 ","$555,258 ","$243,760 ","24,376",291,,SEEKING TENANT,"$3,195 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,9.00%,4.40%,13.40%,61.70%,$10 ,
The Saturn,"BED: 3    BATH: 2    SQ FT: 1,200    YEAR BUILT: 2021",2022-09-08 16:57:43,100% FUNDED,"Address: 923 Jupiter St, Gastonia, NC 28052","$215,000 ","$245,090 ","$105,340 ","10,534",137,,RENTED 🙌,"$1,445 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,13.20%,3.60%,16.80%,65%,$10 ,
The Sugar,"BED: 4    BATH: 2.5    SQ FT: 2,208    YEAR BUILT: 2013",2022-09-08 16:57:48,100% FUNDED,"Address: 300 Southern Sugar Ave, Moncks Corner, SC 29461","$310,000 ","$348,560 ","$147,060 ","14,706",157,,RENTED 🙌,"$2,195 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,10.90%,4.00%,14.90%,65%,$10 ,
The Meadow,"BED: 3    BATH: 2.5    SQ FT: 1,793    YEAR BUILT: 2015",2022-09-08 16:57:52,100% FUNDED,"Address: 9235 Avery Meadows Dr, Charlotte, NC 28216","$320,000 ","$373,960 ","$159,060 ","15,906",199,,RENTED 🙌,"$1,795 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,15.50%,3.60%,19.10%,67.20%,$10 ,
The Collinston,"BED: 3    BATH: 2    SQ FT: 1,200    YEAR BUILT: 2021",2022-09-08 16:57:56,100% FUNDED,"Address: 1507 Collinston Dr, Gastonia, NC 28052","$210,000 ","$239,570 ","$103,070 ","10,307",115,,RENTED 🙌,"$1,445 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,13.20%,3.60%,16.80%,65%,$10 ,
The Saddlebred,"BED: 5    BATH: 3.5    SQ FT: 3,950    YEAR BUILT: 2009",2022-09-08 16:58:01,100% FUNDED,"Address: 6213 Saddlebred Way, Colorado Springs, CO 80925","$475,000 ","$530,930 ","$198,430 ","19,843",263,,SEEKING TENANT,"$2,795 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,12.00%,4.40%,16.40%,70%,$10 ,
The Roseberry,"BED: 4    BATH: 2.5    SQ FT: 2,289    YEAR BUILT: 2018",2022-09-08 16:58:05,100% FUNDED,"Address: 5013 Paddy Field Way, Ladson, SC 29456","$325,000 ","$357,670 ","$146,420 ","14,642",206,,RENTED 🙌,"$2,295 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,12.20%,5.20%,17.40%,65%,$10 ,
The Windsor,"BED: 4    BATH: 2.5    SQ FT: 2,516    YEAR BUILT: 2017",2022-09-08 16:58:10,100% FUNDED,"Address: 3910 Greico Rd, North Charleston, SC 29420","$350,000 ","$384,709 ","$157,210 ","15,721",192,,RENTED 🙌,"$2,595 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,13.50%,5.20%,18.70%,65%,$10 ,
The Forest,"BED: 4    BATH: 3.5    SQ FT: 3,372    YEAR BUILT: 2014",2022-09-08 16:58:14,100% FUNDED,"Address: 407 Forest Hills Rd, Summerville, SC 29486","$350,000 ","$390,700 ","$163,200 ","16,320",171,,RENTED 🙌,"$2,495 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,13.20%,5.20%,18.40%,65%,$10 ,
The Summerset,"BED: 4    BATH: 2    SQ FT: 1,560    YEAR BUILT: 2010",2022-09-08 16:58:18,100% FUNDED,"Address: 2016 Culloden Dr, Summerville, SC 29483","$255,000 ","$284,610 ","$118,860 ","11,886",171,,RENTED 🙌,"$1,695 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,12.70%,5.20%,18.00%,65%,$10 ,
The Basil,"BED: 3    BATH: 2    SQ FT: 1,261    YEAR BUILT: 2016",2022-09-08 16:58:22,100% FUNDED,"Address: 317 Morning Creek Dr, Easley, SC 29640","$202,500 ","$227,264 ","$95,640 ","9,564",169,,RENTED 🙌,"$1,495 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,16.40%,5.20%,21.60%,65%,$10 ,
The Lallie,"BED: 3    BATH: 2.5    SQ FT: 2,460    YEAR BUILT: 2020",2022-09-08 16:58:27,100% FUNDED,"Address: 210 Ilderton St, Summerville, SC 29483","$370,000 ","$410,240 ","$169,740 ","16,974",196,,RENTED 🙌,"$2,495 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,12.90%,5.20%,18.10%,65%,$10 ,
The Dewberry,"BED: 3    BATH: 2.5    SQ FT: 1,383    YEAR BUILT: 2014",2022-09-08 16:58:31,100% FUNDED,"Address: 130 Bonhomme Cir, Lexington, SC 29072","$190,000 ","$213,655 ","$92,430 ","9,243",126,,RENTED 🙌,"$1,595 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,7.20%,5.20%,12.40%,65%,$10 ,
The Spencer,"BED: 3    BATH: 2.5    SQ FT: 2,123    YEAR BUILT: 2013",2022-09-08 16:58:37,100% FUNDED,"Address: 9621 Spencer Woods Rd, Ladson, SC 29456","$300,000 ","$333,770 ","$138,770 ","13,877",186,,RENTED 🙌,"$2,195 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,11.80%,5.20%,17.00%,65%,$10 ,
The Centennial,"BED: 3    BATH: 2.5    SQ FT: 1,893    YEAR BUILT: 2013",2022-09-08 16:58:41,100% FUNDED,"Address: 726 Centennial St, Gastonia, NC 28056","$285,000 ","$308,300 ","$118,300 ","11,830",155,,RENTED 🙌,"$1,895 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,16.00%,4.80%,20.80%,66.70%,$10 ,
The Mojave,"BED: 3    BATH: 2    SQ FT: 1,500    YEAR BUILT: 2021",2022-09-08 16:58:46,100% FUNDED,"Address: 340 N Mojave, Farmington, AR 72730","$234,000 ","$268,080 ","$115,980 ","11,598",190,,RENTED 🙌,"$1,595 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,8.10%,6.40%,14.60%,65%,$10 ,
The Wentworth,"BED: 3    BATH: 2    SQ FT: 1,450    YEAR BUILT: 2021",2022-09-08 16:58:50,100% FUNDED,"Address: 352 N Mojave, Farmington, AR 72730","$226,200 ","$259,560 ","$112,530 ","11,253",179,,RENTED 🙌,"$1,550 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,8.10%,6.40%,14.50%,65%,$10 ,
The Cupcake,"BED: 3    BATH: 2    SQ FT: 1,401    YEAR BUILT: 2021",2022-09-08 16:58:54,100% FUNDED,"Address: 358 N Mojave, Farmington, AR 72730","$218,556 ","$251,210 ","$109,150 ","10,915",186,,RENTED 🙌,"$1,550 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,8.10%,6.40%,14.50%,65%,$10 ,
The Shoreline,"BED: 3    BATH: 3    SQ FT: 2,422    YEAR BUILT: 2011",2022-09-08 16:58:59,100% FUNDED,"Address: 606 Shoreline Blvd, Boiling Springs, SC 29316","$310,000 ","$336,800 ","$124,900 ","12,490",200,,RENTED 🙌,"$2,295 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,34.00%,5.20%,39.20%,68.40%,$10 ,
The Holloway,"BED: 5    BATH: 4    SQ FT: 3,156    YEAR BUILT: 2015",2022-09-08 16:59:03,100% FUNDED,"Address: 601 W Czardas Way, Woodruff, SC 29388","$340,000 ","$368,840 ","$147,840 ","14,784",229,,RENTED 🙌,"$2,495 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,16.20%,5.20%,21.40%,65%,$10 ,
The Badminton,"BED: 4    BATH: 2.5    SQ FT: 2,521    YEAR BUILT: 2016",2022-09-08 16:59:08,100% FUNDED,"Address: 414 Badminton Ct, Lexington, SC 29072","$255,000 ","$284,440 ","$110,240 ","11,024",148,,RENTED 🙌,"$1,995 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,7.00%,5.20%,12.20%,65%,$10 ,
The Eastfair,"BED: 4    BATH: 3    SQ FT: 1,794    YEAR BUILT: 2017",2022-09-08 16:59:12,100% FUNDED,"Address: 461 Eastfair Dr, Columbia, SC 29209","$215,000 ","$236,030 ","$86,030 ","8,603",113,,RENTED 🙌,"$1,795 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,11.70%,5.20%,16.90%,69.80%,$10 ,
The Malbec,"BED: 4    BATH: 4    SQ FT: 2,031    YEAR BUILT: 2020",2022-09-08 16:59:16,100% FUNDED,"Address: 755 N Malbec Rd, Fayetteville, AR 72704","$320,898 ","$346,445 ","$137,860 ","13,786",226,,RENTED 🙌,"$2,195 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,17.10%,6.40%,23.50%,65%,$10 ,
The Pinot,"BED: 4    BATH: 4    SQ FT: 2,052    YEAR BUILT: 2020",2022-09-08 16:59:20,100% FUNDED,"Address: 763 N Malbec Rd, Fayetteville, AR 72704","$324,216 ","$349,968 ","$139,230 ","13,923",212,,RENTED 🙌,"$2,195 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,17.10%,6.40%,23.50%,65%,$10 ,
The Luna,"BED: 3    BATH: 3    SQ FT: 1,697    YEAR BUILT: 2016",2022-09-08 16:59:25,100% FUNDED,"Address: 417 Hosea Ct, Lexington, SC 29072","$215,000 ","$240,710 ","$90,710 ","9,071",137,,RENTED 🙌,"$1,750 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,8.50%,5.20%,13.70%,69.80%,$10 ,
The Kingsley,"BED: 4    BATH: 3.5    SQ FT: 2,890    YEAR BUILT: 2018",2022-09-08 16:59:29,100% FUNDED,"Address: 505 Kingsley View Rd, Blythewood, SC 29016","$315,000 ","$341,849 ","$126,850 ","12,685",188,,RENTED 🙌,"$2,295 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,11.70%,5.20%,16.90%,68.30%,$10 ,
The Splash,"BED: 3    BATH: 2    SQ FT: 1,470    YEAR BUILT: 2015",2022-09-08 16:59:34,100% FUNDED,"Address: 994 S Splash Dr, Fayetteville, AR 72701","$215,000 ","$234,410 ","$111,910 ","11,191",188,,RENTED 🙌,"$1,450 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,9.30%,6.40%,15.70%,57%,$10 ,
The Tuscan,"BED: 4    BATH: 4    SQ FT: 2,031    YEAR BUILT: 2020",2022-09-08 16:59:38,100% FUNDED,"Address: 3474 W Tuscan Rd, Fayetteville, AR 72704","$320,898 ","$346,920 ","$165,520 ","16,552",235,,RENTED 🙌,"$2,295 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,13.60%,6.40%,20.00%,56.50%,$10 ,
The Salem,"BED: 4    BATH: 4    SQ FT: 2,031    YEAR BUILT: 2020",2022-09-08 16:59:42,100% FUNDED,"Address: 659 N Salem Rd, Fayetteville, AR 72704","$320,898 ","$346,360 ","$133,810 ","13,381",188,,RENTED 🙌,"$2,195 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,17.70%,6.40%,24.10%,66.20%,$10 ,
The Pecan,"BED: 3    BATH: 2    SQ FT: 1,650    YEAR BUILT: 2013",2022-09-08 16:59:46,100% FUNDED,"Address: 4481 W Pecan St, Fayetteville, AR 72704","$198,500 ","$219,820 ","$106,960 ","10,696",107,,RENTED 🙌,"$1,450 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,12.00%,6.40%,18.40%,54.10%,$10 ,
The Patrick,"BED: 3    BATH: 2    SQ FT: 1,575    YEAR BUILT: 1996",2022-09-08 16:59:51,100% FUNDED,"Address: 4309 W Patrick St, Fayetteville, AR 72704","$191,000 ","$221,690 ","$113,390 ","11,339",102,,RENTED 🙌,"$1,600 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,9.70%,5.60%,15.30%,51.50%,$10 ,
The Plumtree,"BED: 3    BATH: 2    SQ FT: 1,642    YEAR BUILT: 1995",2022-09-08 16:59:55,100% FUNDED,"Address: 4455 W Chaparral Ln, Fayetteville, AR 72704","$202,950 ","$220,080 ","$108,930 ","10,893",102,,RENTED 🙌,"$1,600 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,13.30%,7.60%,20.90%,54.80%,$10 ,
The Chaparral,"BED: 3    BATH: 2    SQ FT: 1,512    YEAR BUILT: 1994",2022-09-08 17:00:00,100% FUNDED,"Address: 4309 W Chaparral Ln, Fayetteville, AR 72704","$184,900 ","$209,120 ","$104,810 ","10,481",102,,RENTED 🙌,"$1,575 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,11.00%,6.80%,17.80%,52.70%,$10 ,
The Lierly,"BED: 3    BATH: 2    SQ FT: 1,827    YEAR BUILT: 2010",2022-09-08 17:00:04,100% FUNDED,"Address: 4203 W Lierly Ln, Fayetteville, AR 72704","$212,500 ","$225,660 ","$94,560 ","9,456",102,,RENTED 🙌,"$1,750 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,16.40%,7.20%,23.60%,61%,$10 ,
The Soapstone,"BED: 3    BATH: 2    SQ FT: 1,973    YEAR BUILT: 2006",2022-09-08 17:00:09,100% FUNDED,"Address: 4672 W Soapstone Dr, Fayetteville, AR 72704","$217,500 ","$228,410 ","$100,160 ","10,016",102,,RENTED 🙌,"$1,600 ",PROPERTY EQUITY RETURNS,RENTAL DIVIDEND YIELD,15.30%,6.40%,21.70%,58.30%,$10 ,
